,age,gender,open_closed_spaces,classical_new_places,fast_slow_trip,more_short_less_long_trip,alone_company,ibirapuera,masp,jadim_pref,eataly,mirante,terraco_italia,merc_munic,vinte_cinco_marco,seu_quintal,liberdade,la_guapa,beco_batman,omalleys,av_paul,music_style_Forró/Sertanejo,music_style_MPB,music_style_Pop,music_style_R&B,music_style_Rock,movie_genre_Aventura,movie_genre_Ação,movie_genre_Comédia,movie_genre_Drama,movie_genre_Romance,movie_genre_Suspense,motivation_Descansar,motivation_Luxo e conforto,motivation_Sair da rotina/conhecer nova cultura,fav_scenario_Campo,fav_scenario_Cidade,fav_scenario_Montanha,fav_scenario_Praia,fav_place_Lojas/shoppings/centros comercias,fav_place_Museus,fav_place_Parques,fav_place_Restaurantes típicos,fav_place_Trilhas,transport_Carro Alugado,transport_Transporte Público,transport_Táxi/Uber/99
67,22,1,0,1,1,0,0,5,5,3,2,5,4,4,5,5,5,5,5,2,5,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
68,23,1,0,0,0,0,0,5,3,3,3,4,5,5,1,5,5,5,5,4,5,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0
69,21,1,0,0,1,1,0,5,5,5,5,5,5,4,5,5,5,5,5,5,5,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
70,22,1,0,1,1,0,0,5,3,3,4,5,4,4,5,5,5,5,5,5,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
71,24,0,0,1,1,0,0,5,5,4,3,5,2,4,1,4,4,4,3,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
72,24,1,0,0,0,1,0,5,1,4,5,5,5,5,1,2,5,5,5,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
73,24,1,0,0,1,1,0,4,4,3,5,4,5,5,4,5,5,5,5,5,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
74,24,1,0,0,0,1,0,5,1,4,5,5,5,5,1,2,5,5,5,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
75,24,1,0,1,0,1,0,4,2,1,5,4,5,4,5,5,5,5,5,4,5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
76,24,1,0,1,0,1,0,4,4,4,5,4,5,3,1,4,4,5,5,3,5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
77,24,1,0,0,0,1,0,5,1,4,5,5,5,5,1,2,5,5,5,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
78,23,0,0,1,1,1,0,4,3,4,5,4,5,4,3,4,4,3,3,5,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
79,21,0,0,0,1,0,0,2,5,4,3,5,3,3,2,4,5,3,4,5,3,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
80,24,1,0,1,0,1,0,4,4,4,5,4,5,5,1,4,4,5,5,3,5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
81,23,0,0,1,1,1,0,4,3,5,5,4,4,4,3,4,4,3,3,5,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
82,24,1,0,1,0,1,0,4,2,1,5,4,5,4,5,5,5,5,5,4,5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
83,23,0,0,1,1,1,0,4,3,4,5,4,5,4,3,4,4,3,3,5,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
84,24,1,0,0,0,1,0,5,1,4,5,5,5,5,1,2,5,5,5,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
85,21,1,0,0,1,0,0,2,5,4,3,5,3,3,2,3,5,3,4,5,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
86,24,0,0,0,1,1,0,4,4,3,5,4,5,5,5,5,5,5,5,5,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1
87,23,0,0,1,0,1,0,4,3,4,5,4,4,4,3,4,4,3,5,5,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
88,24,1,0,0,1,1,0,4,4,3,5,4,5,5,5,5,5,5,5,5,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
89,24,1,0,0,1,1,0,4,4,3,5,4,5,5,4,5,5,5,5,5,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
90,23,0,0,1,1,1,0,4,3,4,5,4,4,4,3,4,4,3,3,5,3,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
91,24,1,0,1,0,1,0,4,1,4,5,4,5,5,5,4,4,5,5,3,5,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
92,24,1,0,1,0,1,0,4,2,1,5,5,5,4,5,5,5,5,5,4,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1
93,24,0,0,1,1,0,0,5,5,4,3,5,2,4,1,4,4,4,3,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
94,24,1,0,1,0,1,0,4,4,3,5,4,5,5,1,4,4,5,5,3,5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
95,28,0,0,1,1,0,0,3,1,5,5,5,5,4,1,2,4,5,1,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
96,24,1,0,1,0,1,0,4,2,1,5,5,5,4,5,5,5,5,5,4,5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1
97,23,0,0,1,1,1,0,4,3,4,5,4,4,4,3,5,4,3,3,5,3,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
98,24,0,0,1,1,1,0,4,5,4,5,4,4,4,3,5,4,3,3,5,3,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
99,28,0,0,1,1,0,0,3,1,5,5,5,5,4,1,5,4,5,1,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
100,28,1,0,1,1,0,0,3,1,5,5,5,5,4,1,2,4,5,1,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
101,23,0,0,1,1,1,0,4,3,4,5,4,4,4,3,4,4,3,3,5,3,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
102,24,1,0,1,0,1,0,4,2,1,5,5,5,4,5,5,5,5,5,4,5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
103,23,0,0,1,1,1,0,4,3,5,5,4,4,4,3,4,4,3,3,5,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
104,21,1,0,0,1,1,0,5,5,5,5,5,5,4,5,5,5,5,5,5,5,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
105,23,0,0,1,1,1,0,4,3,4,5,4,5,4,3,4,4,3,3,5,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
106,22,0,0,1,1,0,0,5,5,3,2,5,4,4,1,5,5,5,5,2,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
107,24,1,0,0,0,1,0,4,4,3,5,4,5,5,5,4,5,5,5,5,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
108,24,0,0,0,1,0,0,5,5,5,5,3,5,5,5,4,4,5,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
109,23,1,0,0,1,1,0,5,3,3,3,4,5,5,5,5,5,5,5,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
